canonical_security_id,stock_code,name_cn,name_en,shanghai_connect,shenzhen_connect,eligibility_status
HKEX:00392,00392,北京控股,BEIJING ENT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00425,00425,敏实集团,MINTH GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00440,00440,大新金融,DAH SING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00460,00460,四环医药,SIHUAN PHARM,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00467,00467,联合能源集团,UNITEDENERGY GP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00470,00470,先导智能,WUXI LEAD,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00501,00501,豪威集团,OMNIVISION,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00506,00506,中国食品,CHINA FOODS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00512,00512,远大医药,GRAND PHARMA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00522,00522,,ASMPT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00525,00525,广深铁路股份,GUANGSHEN RAIL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00537,00537,普源精电,RIGOL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00546,00546,阜丰集团,FUFENG GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00548,00548,深圳高速公路股份,SHENZHENEXPRESS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00551,00551,裕元集团,YUE YUEN IND,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00552,00552,中国通信服务,CHINACOMSERVICE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00553,00553,南京熊猫电子股份,NANJING PANDA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00564,00564,中创智领,ZCZL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00568,00568,山东墨龙,SHANDONG MOLONG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00570,00570,中国中药,TRAD CHI MED,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00576,00576,浙江沪杭甬,ZHEJIANGEXPRESS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00586,00586,海螺创业,CONCH VENTURE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00588,00588,北京北辰实业股份,BEIJING N STAR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00590,00590,六福集团,LUK FOOK HOLD,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00598,00598,中国外运,SINOTRANS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00604,00604,深圳控股,SHENZHEN INVEST,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00631,00631,三一国际,SANY INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00636,00636,,KLN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00638,00638,广和通,FIBOCOM,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00639,00639,首钢资源,SHOUGANG RES,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00656,00656,复星国际,FOSUN INTL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00659,00659,周大福创建,CTF SERVICES,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00666,00666,瑞浦兰钧,REPT BATTERO,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00667,00667,中国东方教育,CHINA EAST EDU,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00669,00669,创科实业,TECHTRONIC IND,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00670,00670,中国东方航空股份,CHINA EAST AIR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00683,00683,嘉里建设,KERRY PPT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00688,00688,中国海外发展,CHINA OVERSEAS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00696,00696,中国民航信息网络,TRAVELSKY TECH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00697,00697,首程控股,SHOUCHENG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00699,00699,均胜电子,JOYSON ELEC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00700,00700,腾讯控股,TENCENT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00719,00719,山东新华制药股份,SHANDONG XINHUA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00728,00728,中国电信,CHINA TELECOM,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00751,00751,创维集团,SKYWORTH GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00753,00753,中国国航,AIR CHINA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00762,00762,中国联通,CHINA UNICOM,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00763,00763,中兴通讯,ZTE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00772,00772,阅文集团,CHINA LIT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00780,00780,同程旅行,TONGCHENGTRAVEL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:00788,00788,中国铁塔,CHINA TOWER,True,True,BUY_AND_SELL_ELIGIBLE
