metric_id,sector_profile,quality_state,row_count,group_total,row_ratio,authority,trade_authority
VAL_PE_TTM,GENERAL_NON_FINANCIAL,NON_POSITIVE_EARNINGS,1529,5104,0.2995689655172414,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,GENERAL_NON_FINANCIAL,VALID,3326,5104,0.6516457680250783,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,GENERAL_NON_FINANCIAL,VALID_WITH_WARNING,220,5104,0.04310344827586207,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,INSURANCE,VALID,4,5,0.8,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,INSURANCE,VALID_WITH_WARNING,1,5,0.2,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,SECURITIES_AND_BROKERAGE,VALID,48,50,0.96,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,SECURITIES_AND_BROKERAGE,VALID_WITH_WARNING,2,50,0.04,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PE_TTM,UNRESOLVED,SECTOR_PROFILE_UNRESOLVED,350,350,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,BANK,NOT_APPLICABLE_SECTOR,42,42,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,GENERAL_NON_FINANCIAL,CONTROLLED_CAPITALIZATION_QUARANTINE,5,5104,0.0009796238244514106,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,GENERAL_NON_FINANCIAL,MISSING_REQUIRED_INPUT,25,5104,0.004898119122257054,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,GENERAL_NON_FINANCIAL,NON_POSITIVE_REVENUE,3,5104,0.0005877742946708464,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,GENERAL_NON_FINANCIAL,VALID,4682,5104,0.917319749216301,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,GENERAL_NON_FINANCIAL,VALID_WITH_WARNING,389,5104,0.07621473354231975,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,INSURANCE,NOT_APPLICABLE_SECTOR,5,5,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,SECURITIES_AND_BROKERAGE,NOT_APPLICABLE_SECTOR,50,50,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
VAL_PS_TTM,UNRESOLVED,SECTOR_PROFILE_UNRESOLVED,350,350,1.0,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
