security_id,security_code,security_name,historical_core20,historical_lifecycle_state,workplan_lane,strategy_sleeve,core20_review_disposition,proposed_candidate_route,proposed_lifecycle_state,research_id,research_lifecycle_state,research_decision_grade,thesis_id,thesis_status,valuation_id,valuation_status,entry_baseline_id,entry_baseline_status,portfolio_role,benchmark,research_gap_count,ready_for_user_decision,buy_signal,real_account_permission,simulation_admission_permission,candidate_state_change_requires_human_merge,trade_authority,semantic_hash
002558.SZ,002558,巨人网络,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-002558.SZ,TRIAGE,False,WP3-5-TH-002558.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002558.SZ,DRAFT,WP3-5-ENTRY-002558.SZ,MISSING,,,5,False,NO,False,False,True,NONE,d6ddfa9080f90533835a2f41f7fec74de51fccbd77e57c6e047cb28bfa751158
002602.SZ,002602,世纪华通,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-002602.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002602.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002602.SZ,DRAFT,WP3-5-ENTRY-002602.SZ,MISSING,,,5,False,NO,False,False,True,NONE,c37a17f426eabe7a2916e3411d73c65a41d77e2916021c5f67401ba859f922ac
002603.SZ,002603,以岭药业,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-002603.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002603.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002603.SZ,DRAFT,WP3-5-ENTRY-002603.SZ,MISSING,,,5,False,NO,False,False,True,NONE,abda9be299fa66d06d5e44e07388a2b20847765063cbd044b9f84a1d78513a4c
002780.SZ,002780,三夫户外,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-002780.SZ,IDEA,False,WP3-5-TH-002780.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002780.SZ,DRAFT,WP3-5-ENTRY-002780.SZ,MISSING,,,5,False,NO,False,False,True,NONE,631526a2750061dc30439c95a97d54e97aaa9636133cbfe0770260503f4fbf3f
002901.SZ,002901,大博医疗,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-002901.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002901.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002901.SZ,DRAFT,WP3-5-ENTRY-002901.SZ,MISSING,,,5,False,NO,False,False,True,NONE,27940ee2a599ab0337c35bfd76177e0fee070c6f58cae18f41ec1e71f4413ee5
002967.SZ,002967,广电计量,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-002967.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-002967.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-002967.SZ,DRAFT,WP3-5-ENTRY-002967.SZ,MISSING,,,5,False,NO,False,False,True,NONE,733e608c9e167fb7b1e9e305936f474e016281d9ebeac3eadf2f2dbf0297e2bc
300012.SZ,300012,华测检测,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-300012.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-300012.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300012.SZ,DRAFT,WP3-5-ENTRY-300012.SZ,MISSING,,,5,False,NO,False,False,True,NONE,082b6e9fee1c0f8eb054f5d79b368152264e47f863d5b370c4455431470706b2
300113.SZ,300113,顺网科技,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-300113.SZ,TRIAGE,False,WP3-5-TH-300113.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300113.SZ,DRAFT,WP3-5-ENTRY-300113.SZ,MISSING,,,5,False,NO,False,False,True,NONE,72b9a0014c73f7c8ea5228e438839892dc39b1fc6749033626f1dddc8ef722c1
300139.SZ,300139,晓程科技,False,NONE,B_STRUCTURED_RESEARCH,RESOURCE_CYCLE,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-300139.SZ,TRIAGE,False,WP3-5-TH-300139.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300139.SZ,DRAFT,WP3-5-ENTRY-300139.SZ,MISSING,,,5,False,NO,False,False,True,NONE,f6f2973d9c1a8d647f89f2536237744023c6c36dad44323f4da68b9ce18c47a6
300140.SZ,300140,节能环境,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-300140.SZ,TRIAGE,False,WP3-5-TH-300140.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300140.SZ,DRAFT,WP3-5-ENTRY-300140.SZ,MISSING,,,5,False,NO,False,False,True,NONE,f6017065d72c84c6aec63e8be9f0f17583d1ae3e719b98d592aacee08c93cb5a
300143.SZ,300143,盈康生命,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-300143.SZ,IDEA,False,WP3-5-TH-300143.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300143.SZ,DRAFT,WP3-5-ENTRY-300143.SZ,MISSING,,,5,False,NO,False,False,True,NONE,1fd73b6f511c7365b0bf7ad0533500dc4b1a9b06e278d1e4a2571e4161dd8e04
300308.SZ,300308,中际旭创,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-300308.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-300308.SZ,DRAFT_SOURCE_BACKED,WP3-5-VAL-300308.SZ,RESEARCH_GRADE,WP3-5-ENTRY-300308.SZ,MISSING,,,2,False,NO,False,False,True,NONE,91c5456f9601112e49114b8e52533cb9f92a33c0277e69387f778c82d1078340
300492.SZ,300492,华图山鼎,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-300492.SZ,IDEA,False,WP3-5-TH-300492.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300492.SZ,DRAFT,WP3-5-ENTRY-300492.SZ,MISSING,,,5,False,NO,False,False,True,NONE,441092a8893cdeb77cb52f6d2bb7f84777d29768b87ef3052e9b868b10604f97
300573.SZ,300573,兴齐眼药,False,NONE,A_DEEP_DIVE,QUALITY_GROWTH,,SHADOW_DEEP_DIVE,NONE,WP3-5-RSCH-300573.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-300573.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300573.SZ,DRAFT,WP3-5-ENTRY-300573.SZ,MISSING,,,5,False,NO,False,False,True,NONE,d9a5359cfc1ec70b5d414899c1d3f8d49b4a36526a712c54d5bc3e696dcc512b
300592.SZ,300592,华凯易佰,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-300592.SZ,TRIAGE,False,WP3-5-TH-300592.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300592.SZ,DRAFT,WP3-5-ENTRY-300592.SZ,MISSING,,,5,False,NO,False,False,True,NONE,de28623d77e3563b0b3083b1d8e65e6457532fa32a2c4a86d67bc4cb6e844c33
300613.SZ,300613,富瀚微,False,NONE,B_STRUCTURED_RESEARCH,QUALITY_GROWTH,,RESEARCH_QUEUE_STRUCTURED,NONE,WP3-5-RSCH-300613.SZ,TRIAGE,False,WP3-5-TH-300613.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300613.SZ,DRAFT,WP3-5-ENTRY-300613.SZ,MISSING,,,5,False,NO,False,False,True,NONE,7f5f53058863efa9022672e2770193b962605692280ed620fa3a2f65bc748681
300622.SZ,300622,博士眼镜,False,NONE,C_WATCH_AND_EVIDENCE_FILL,QUALITY_GROWTH,,WATCH_EVIDENCE_FILL,NONE,WP3-5-RSCH-300622.SZ,IDEA,False,WP3-5-TH-300622.SZ,MISSING_RESEARCH_REQUIRED,WP3-5-VAL-300622.SZ,DRAFT,WP3-5-ENTRY-300622.SZ,MISSING,,,5,False,NO,False,False,True,NONE,a46daccd399c9577fff0bbbfb1c7c55a5e67446fa9d651c670a13d53787dd8be
300750.SZ,300750,宁德时代,True,CANDIDATE_CORE,CORE20_MANDATORY_REVIEW,QUALITY_GROWTH,READMISSION_REVIEW,SHADOW_READMISSION_REVIEW,NONE,WP3-5-RSCH-300750.SZ,ACTIVE_RESEARCH,False,WP3-5-TH-300750.SZ,DRAFT_SOURCE_BACKED,WP3-5-VAL-300750.SZ,RESEARCH_GRADE,WP3-5-ENTRY-300750.SZ,MISSING,电池技术成长验证,中证电池主题指数,5,False,NO,False,False,True,NONE,8f8e42e9c9845591c035a230271f25f78d0f0dc48a0f7549a1ace50947047964
