security_id,security_code,security_name,workplan_lane,gap_id,priority,candidate_route_blocked,trade_authority
300308.SZ,300308,中际旭创,A_DEEP_DIVE,CURRENT_SOURCE_REFRESH_REQUIRED,P0,True,NONE
300573.SZ,300573,兴齐眼药,A_DEEP_DIVE,BENCHMARK_REQUIRED,P0,True,NONE
300573.SZ,300573,兴齐眼药,A_DEEP_DIVE,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
300573.SZ,300573,兴齐眼药,A_DEEP_DIVE,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
300573.SZ,300573,兴齐眼药,A_DEEP_DIVE,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
300573.SZ,300573,兴齐眼药,A_DEEP_DIVE,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
300750.SZ,300750,宁德时代,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
300750.SZ,300750,宁德时代,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
300750.SZ,300750,宁德时代,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
300750.SZ,300750,宁德时代,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
300750.SZ,300750,宁德时代,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
300760.SZ,300760,迈瑞医疗,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
300760.SZ,300760,迈瑞医疗,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
300760.SZ,300760,迈瑞医疗,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
300760.SZ,300760,迈瑞医疗,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
300760.SZ,300760,迈瑞医疗,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
300972.SZ,300972,万辰集团,A_DEEP_DIVE,BENCHMARK_REQUIRED,P0,True,NONE
300972.SZ,300972,万辰集团,A_DEEP_DIVE,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
300972.SZ,300972,万辰集团,A_DEEP_DIVE,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
300972.SZ,300972,万辰集团,A_DEEP_DIVE,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
300972.SZ,300972,万辰集团,A_DEEP_DIVE,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
600036.SH,600036,招商银行,CORE20_MANDATORY_REVIEW,FINANCIAL_SECTOR_PACK_REQUIRED,P0,True,NONE
600036.SH,600036,招商银行,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
600036.SH,600036,招商银行,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
