source_id,source_name,source_type,owner_or_provider,period_covered,as_of_date,retrieved_at,file_tab_page_url_or_location,source_rank,freshness_status,notes,trade_authority,route_id,statement,status
SRC-SINA_STATEMENTS-000333-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 000333.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:15+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=78; cols=147; elapsed=2.2205; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-000333-INCOME_STATEMENT,SINA_STATEMENTS income_statement 000333.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:16+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=78; cols=83; elapsed=1.4268; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-000333-CASH_FLOW,SINA_STATEMENTS cash_flow 000333.SZ,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:18+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=78; cols=71; elapsed=1.3966; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-600519,CNINFO periodic reports for 600519.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:52:29+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=60; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-600519-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 600519.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:52:49+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=102; cols=319; elapsed=20.0711; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-600519-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 600519.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:05+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=102; cols=203; elapsed=16.4534; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-600519-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 600519.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:53:20+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=98; cols=254; elapsed=15.0246; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-600519-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 600519.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:23+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=102; cols=147; elapsed=2.052; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-600519-INCOME_STATEMENT,SINA_STATEMENTS income_statement 600519.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:25+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=102; cols=83; elapsed=2.6; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-600519-CASH_FLOW,SINA_STATEMENTS cash_flow 600519.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:53:27+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=98; cols=71; elapsed=1.6147; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-300750,CNINFO periodic reports for 300750.SZ,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:53:07+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=89; error=,NONE,,,
