factor_id,quality_state,symbol_count
FIN_REVENUE_CAGR_3Y,NOT_APPLICABLE_SECTOR,97
FIN_REVENUE_CAGR_3Y,QUARANTINED_INPUT,351
FIN_REVENUE_CAGR_3Y,SECTOR_PROFILE_UNRESOLVED,1
FIN_REVENUE_YOY,INVALID_DENOMINATOR,3
FIN_REVENUE_YOY,MISSING_REQUIRED_INPUT,188
FIN_REVENUE_YOY,NOT_APPLICABLE_SECTOR,97
FIN_REVENUE_YOY,QUARANTINED_INPUT,359
FIN_REVENUE_YOY,SECTOR_PROFILE_UNRESOLVED,1
FIN_REVENUE_YOY,VALID,4264
FIN_REVENUE_YOY,VALID_WITH_WARNING,639
FIN_ROA_AVG_ASSETS_TTM,MISSING_REQUIRED_INPUT,92
FIN_ROA_AVG_ASSETS_TTM,QUARANTINED_INPUT,353
FIN_ROA_AVG_ASSETS_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_ROA_AVG_ASSETS_TTM,VALID,4708
FIN_ROA_AVG_ASSETS_TTM,VALID_WITH_WARNING,397
FIN_ROE_AVG_PARENT_EQUITY_TTM,INVALID_DENOMINATOR,30
FIN_ROE_AVG_PARENT_EQUITY_TTM,MISSING_REQUIRED_INPUT,92
FIN_ROE_AVG_PARENT_EQUITY_TTM,QUARANTINED_INPUT,352
FIN_ROE_AVG_PARENT_EQUITY_TTM,SECTOR_PROFILE_UNRESOLVED,1
FIN_ROE_AVG_PARENT_EQUITY_TTM,VALID,4690
FIN_ROE_AVG_PARENT_EQUITY_TTM,VALID_WITH_WARNING,386
