as_of_date,overall_rank,research_priority,security_id,stock_code_5d,official_security_name_en,research_stage,research_decision,decision_reason,candidate_pool_admission,simulation_admission,real_account_admission,order_generation,trade_authority
2026-07-21,29,B_WATCH_OR_TRIGGER,HKEX:09636,09636,JF SMARTINVEST,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,30,B_WATCH_OR_TRIGGER,HKEX:00006,00006,POWER ASSETS,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,31,B_WATCH_OR_TRIGGER,HKEX:01836,01836,STELLA HOLDINGS,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,32,B_WATCH_OR_TRIGGER,HKEX:02378,02378,PRU,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,33,B_WATCH_OR_TRIGGER,HKEX:06990,06990,SKB BIO,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,34,B_WATCH_OR_TRIGGER,HKEX:06066,06066,CSC,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,35,B_WATCH_OR_TRIGGER,HKEX:02356,02356,DAHSING BANKING,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,36,B_WATCH_OR_TRIGGER,HKEX:01883,01883,CITIC TELECOM,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,37,B_WATCH_OR_TRIGGER,HKEX:03998,03998,BOSIDENG,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,38,B_WATCH_OR_TRIGGER,HKEX:00363,00363,SHANGHAI IND H,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,39,B_WATCH_OR_TRIGGER,HKEX:02269,02269,WUXI BIO,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,40,B_WATCH_OR_TRIGGER,HKEX:06181,06181,LAOPU GOLD,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,41,B_WATCH_OR_TRIGGER,HKEX:01114,01114,BRILLIANCE CHI,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,42,B_WATCH_OR_TRIGGER,HKEX:00008,00008,PCCW,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,43,B_WATCH_OR_TRIGGER,HKEX:01398,01398,ICBC,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,44,B_WATCH_OR_TRIGGER,HKEX:03968,03968,CM BANK,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,45,B_WATCH_OR_TRIGGER,HKEX:03988,03988,BANK OF CHINA,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
2026-07-21,46,B_WATCH_OR_TRIGGER,HKEX:01038,01038,CKI HOLDINGS,SCREENED,DEFERRED,NOT_IN_CURRENT_ACTIVE_RESEARCH_COHORT,False,False,False,False,NONE
