security_id,stock_code_5d,review_type,evidence_status,detail
HKEX:01055,01055,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01057,01057,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01065,01065,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01071,01071,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01072,01072,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01081,01081,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01108,01108,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01138,01138,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01157,01157,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01171,01171,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
