security_id,issuer_id,stock_code_5d,mapping_status,mapping_basis
HKEX:00590,HKEX-ISSUER:213460c1b8196a6e,00590,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00598,HKEX-ISSUER:ccb1acc625a59876,00598,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00604,HKEX-ISSUER:f94b47c8209cbd8d,00604,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00631,HKEX-ISSUER:42c556fa7d55ae17,00631,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00636,HKEX-ISSUER:bd67441a75d26b61,00636,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00638,HKEX-ISSUER:00ac449e7c4e65b6,00638,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00639,HKEX-ISSUER:6d206a172533ecb8,00639,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00656,HKEX-ISSUER:43792ec190510e43,00656,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00659,HKEX-ISSUER:0f1f8593a24411e5,00659,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00666,HKEX-ISSUER:33323613b230e316,00666,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00667,HKEX-ISSUER:30e58bd5863aed62,00667,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00669,HKEX-ISSUER:e0da8aa97c45caab,00669,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00670,HKEX-ISSUER:b5c62ae17eaaa581,00670,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00683,HKEX-ISSUER:d3a69f8213d2419e,00683,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00688,HKEX-ISSUER:76e739cafc2784c9,00688,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00696,HKEX-ISSUER:e11a04aea5c75e72,00696,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00697,HKEX-ISSUER:b3dbb6926dccf154,00697,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00699,HKEX-ISSUER:0bb22179017b2cbf,00699,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00700,HKEX-ISSUER:9831389c94c5b42b,00700,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00719,HKEX-ISSUER:72c4f650b8ec0159,00719,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00728,HKEX-ISSUER:4ba601479d8ad187,00728,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00751,HKEX-ISSUER:86a48e942532e1f6,00751,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00753,HKEX-ISSUER:2f14a608b294dc48,00753,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
