security_code,sh_status,sz_status,combined_status,buy_eligible,sell_only,as_of_date
00440,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00460,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00467,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00470,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00489,SELL_ONLY,SELL_ONLY,SELL_ONLY,False,True,2026-08-07
00501,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00506,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00512,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00522,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00525,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00537,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00546,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00548,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00551,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00552,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00553,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00564,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00568,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00570,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00576,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00586,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00588,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00590,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00598,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00604,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00631,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00636,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00638,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00639,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00656,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00659,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00666,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00667,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00668,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00669,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00670,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00683,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00688,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00694,UNKNOWN_BLOCKED,SELL_ONLY,SELL_ONLY,False,True,2026-08-07
00696,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00697,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00699,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00700,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00719,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00728,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00751,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00753,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
00754,SELL_ONLY,SELL_ONLY,SELL_ONLY,False,True,2026-08-07
00762,BUY_ELIGIBLE,BUY_ELIGIBLE,BUY_ELIGIBLE_BOTH,True,False,2026-08-07
