previous_date,current_date,symbol,name,previous_rank,current_rank,rank_change,previous_priority,current_priority,previous_primary_sleeve,current_primary_sleeve
2026-07-13,2026-07-14,300671.SZ,富满微,95,57,38,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,300687.SZ,赛意信息,2,4,-2,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,300759.SZ,康龙化成,96,47,49,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,300938.SZ,信测标准,71,58,13,C_SCREEN_FLAG_ONLY,B_WATCH_OR_TRIGGER,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,301228.SZ,实朴检测,82,92,-10,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,301269.SZ,华大九天,13,30,-17,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,301369.SZ,联动科技,1,5,-4,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,301379.SZ,天山电子,65,75,-10,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,301568.SZ,思泰克,63,62,1,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,TREND_PERSISTENCE,TREND_PERSISTENCE
2026-07-13,2026-07-14,600016.SH,民生银行,68,71,-3,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,600018.SH,上港集团,18,42,-24,A_IMMEDIATE_RESEARCH,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,600036.SH,招商银行,94,95,-1,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,600177.SH,雅戈尔,90,84,6,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,600584.SH,长电科技,7,6,1,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,600641.SH,先导基电,69,61,8,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,LIQUID_BREAKOUT,LIQUID_BREAKOUT
2026-07-13,2026-07-14,600900.SH,XD长江电,6,1,5,A_IMMEDIATE_RESEARCH,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,600919.SH,江苏银行,46,46,0,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601006.SH,大秦铁路,72,67,5,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601128.SH,常熟银行,53,56,-3,B_WATCH_OR_TRIGGER,B_WATCH_OR_TRIGGER,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601211.SH,国泰海通,85,69,16,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,RECOVERY_WATCH,RECOVERY_WATCH
2026-07-13,2026-07-14,601229.SH,上海银行,24,20,4,B_WATCH_OR_TRIGGER,A_IMMEDIATE_RESEARCH,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
2026-07-13,2026-07-14,601328.SH,交通银行,79,74,5,C_SCREEN_FLAG_ONLY,C_SCREEN_FLAG_ONLY,DEFENSIVE_STABILITY,DEFENSIVE_STABILITY
