factor_id,sector_profile,factor_status,valid_or_warning_count,profile_symbol_count,coverage_ratio,minimum,q001,q01,median,q99,q999,maximum,mad,peer_group_method,industry_neutral,authority,trade_authority
FIN_CURRENT_RATIO,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,5100,5104,0.9992163009404389,0.08606070210467896,0.15077756397891778,0.3070278829292183,1.7796817355725947,16.447681798184867,38.625902850885716,54.15202035641608,0.7233362927908263,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CURRENT_RATIO,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CURRENT_RATIO,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_CURRENT_RATIO,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_EFFECTIVE_TAX_RATE_TTM,BANK,DIAGNOSTIC_ONLY,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_EFFECTIVE_TAX_RATE_TTM,GENERAL_NON_FINANCIAL,DIAGNOSTIC_ONLY,3508,5104,0.6873040752351097,-4.206491450553847,-0.3088270539741176,-0.036724226662175,0.14577325983057085,2.1913936629942654,24.198150380496063,1099.074847106939,0.06365385704567468,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_EFFECTIVE_TAX_RATE_TTM,INSURANCE,DIAGNOSTIC_ONLY,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_EFFECTIVE_TAX_RATE_TTM,SECURITIES_AND_BROKERAGE,DIAGNOSTIC_ONLY,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_EFFECTIVE_TAX_RATE_TTM,UNRESOLVED,DIAGNOSTIC_ONLY,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_FCF_MARGIN_TTM,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_FCF_MARGIN_TTM,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,4959,5104,0.9715909090909091,-8.451378277637762,-3.4075515154019325,-0.9501762621838601,0.01892673367893614,0.5236550548856816,2.467721193070132,495.9472448881112,0.08705350253180823,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_FCF_MARGIN_TTM,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_FCF_MARGIN_TTM,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_FCF_MARGIN_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GOODWILL_TO_EQUITY,BANK,DIAGNOSTIC_ONLY,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GOODWILL_TO_EQUITY,GENERAL_NON_FINANCIAL,DIAGNOSTIC_ONLY,2575,5104,0.5045062695924765,0.0,0.0,0.0,0.018787608522177802,0.7444537503265629,9.627265258467357,39.02128056615449,0.01823795496184739,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GOODWILL_TO_EQUITY,INSURANCE,DIAGNOSTIC_ONLY,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GOODWILL_TO_EQUITY,SECURITIES_AND_BROKERAGE,DIAGNOSTIC_ONLY,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GOODWILL_TO_EQUITY,UNRESOLVED,DIAGNOSTIC_ONLY,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_TTM,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_TTM,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,5005,5104,0.9806034482758621,-2.30330686045787,-0.4012047448418101,-0.06055780966096984,0.23746096881293827,0.8578369225081042,0.9574397295314299,0.9923242553664838,0.10538719138326427,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_TTM,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_TTM,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_TTM,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_YOY_DELTA,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_YOY_DELTA,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,4897,5104,0.9594435736677116,-2.260509128685134,-0.4713033727513483,-0.2104429551192006,-0.0002728255998333262,0.2348603798182248,0.728613883130723,2.48583858287385,0.023196262649194443,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_YOY_DELTA,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_YOY_DELTA,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_GROSS_MARGIN_YOY_DELTA,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,BANK,DIAGNOSTIC_ONLY,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,GENERAL_NON_FINANCIAL,DIAGNOSTIC_ONLY,626,5104,0.12264890282131662,0.0,0.0,0.0,0.6264907492188304,11.629694942424358,89.05339461643918,122.10157134127573,0.37648707876449233,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,INSURANCE,DIAGNOSTIC_ONLY,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,SECURITIES_AND_BROKERAGE,DIAGNOSTIC_ONLY,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INTEREST_BEARING_DEBT_TO_EQUITY,UNRESOLVED,DIAGNOSTIC_ONLY,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INVENTORY_TO_REVENUE_TTM,BANK,DIAGNOSTIC_ONLY,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INVENTORY_TO_REVENUE_TTM,GENERAL_NON_FINANCIAL,DIAGNOSTIC_ONLY,4955,5104,0.970807210031348,1.203646269428266e-07,5.80954556741676e-05,0.001477294453022048,0.20475185268345036,2.8993824940882615,8.736425542746879,15.390303276737221,0.10711905800075257,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INVENTORY_TO_REVENUE_TTM,INSURANCE,DIAGNOSTIC_ONLY,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INVENTORY_TO_REVENUE_TTM,SECURITIES_AND_BROKERAGE,DIAGNOSTIC_ONLY,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_INVENTORY_TO_REVENUE_TTM,UNRESOLVED,DIAGNOSTIC_ONLY,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_LIABILITIES_TO_ASSETS,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_LIABILITIES_TO_ASSETS,GENERAL_NON_FINANCIAL,PRODUCTION_CORE,5103,5104,0.9998040752351097,0.013726623964060424,0.0251681378084335,0.05363487396837475,0.40774880537801567,0.9755328993494206,1.3406919064252996,2.5074795089579904,0.16281170044989518,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_LIABILITIES_TO_ASSETS,INSURANCE,PRODUCTION_CORE,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_LIABILITIES_TO_ASSETS,SECURITIES_AND_BROKERAGE,PRODUCTION_CORE,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_LIABILITIES_TO_ASSETS,UNRESOLVED,PRODUCTION_CORE,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_DEBT_TO_EQUITY,BANK,DIAGNOSTIC_ONLY,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_DEBT_TO_EQUITY,GENERAL_NON_FINANCIAL,DIAGNOSTIC_ONLY,626,5104,0.12264890282131662,-1.2299894190640044,-1.1291308748217015,-0.6628261703110203,0.32177104180811744,9.962993843891143,47.64760183285054,67.18827562198602,0.3678171317410756,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_DEBT_TO_EQUITY,INSURANCE,DIAGNOSTIC_ONLY,0,5,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_DEBT_TO_EQUITY,SECURITIES_AND_BROKERAGE,DIAGNOSTIC_ONLY,0,50,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_DEBT_TO_EQUITY,UNRESOLVED,DIAGNOSTIC_ONLY,0,350,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
FIN_NET_MARGIN_PARENT_TTM,BANK,PRODUCTION_CORE,0,42,0.0,,,,,,,,,COARSE_SECTOR_PROFILE,False,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
