statement,source_item_code,source_item_name,occurrence_count
balance_sheet,001002020,卖出回购金融资产,108
balance_sheet,003002025,拆出资金,105
income_statement,003007997,经营支出其他项目,105
balance_sheet,001002011,拆入资金,105
income_statement,003011006,融资成本,103
balance_sheet,004001007,土地使用权,103
balance_sheet,004035001,其他权益,97
balance_sheet,003002023,结算备付金,96
balance_sheet,003009001,净流动资产,95
balance_sheet,003011001,总资产减流动负债,95
balance_sheet,003012001,总资产减总负债,95
balance_sheet,003023001,净资产,95
balance_sheet,003030001,总权益及非流动负债,95
balance_sheet,003025005,公积金,94
balance_sheet,003002014,指定以公允价值记账之金融资产(流动),94
balance_sheet,004020012,指定以公允价值记账之金融负债,94
balance_sheet,004011022,吸收存款及同业存放,92
balance_sheet,003025013,其他权益工具,92
income_statement,003007003,员工成本,91
balance_sheet,003002022,保证金,90
balance_sheet,003099001,非运算项目,87
income_statement,003011001,应占联营公司溢利,84
balance_sheet,001009013,永久资本证券,83
income_statement,002001001,毛承保保费及保单费收入,83
income_statement,002003001,投资收益,83
income_statement,002003999,经营收入总额,83
income_statement,002007001,赔付支出,83
income_statement,002007999,经营支出总额,83
income_statement,002013999,除税后溢利,83
income_statement,002099000,非运算项目,83
balance_sheet,003002016,交易性金融资产(流动),82
balance_sheet,003025012,其他综合性收益,82
balance_sheet,003002997,流动资产其他项目,82
balance_sheet,002001002,固定资产投资,82
balance_sheet,002001997,资产其他项目,82
balance_sheet,002009999,归属于母公司股东权益,82
balance_sheet,002015999,权益及负债合计,82
income_statement,003007004,折旧和摊销,81
balance_sheet,002002003,应交税金,81
balance_sheet,003007015,交易性金融负债(流动),80
balance_sheet,002001011,递延所得税资产,79
income_statement,002030997,其他全面收益其他项目,79
income_statement,002030999,其他全面收益,79
income_statement,002039999,全面收益总额,79
income_statement,002040002,本公司拥有人应占全面收益总额,79
balance_sheet,003001017,长期投资,78
balance_sheet,003001022,其他投资,78
income_statement,003007007,行政开支,78
cash_flow,003004,已收股息(经营),77
balance_sheet,003007020,代理买卖证券款,77
balance_sheet,003015005,融资租赁负债(非流动),77
balance_sheet,003003001,资产其他项目,76
balance_sheet,002009001,股本,76
balance_sheet,003015001,长期银行贷款,75
income_statement,002014001,少数股东损益,75
income_statement,004005003,其他成本,73
income_statement,002040001,非控股权益应占全面收益总额,73
balance_sheet,003002005,预付款按金及其他应收款,72
balance_sheet,002003001,非控股股东权益,72
balance_sheet,002002013,卖出回购金融资产,72
balance_sheet,004020019,其他金融负债(非流动),71
balance_sheet,003017001,负债其他项目,70
balance_sheet,004002021,生产性生物资产,70
balance_sheet,002002997,负债其他项目,70
balance_sheet,003001013,联营公司权益,69
balance_sheet,002002014,递延税项负债,69
income_statement,002003997,经营收入总额其他项目,69
cash_flow,005012,应收关联方款项(增加)减少(投资),68
income_statement,002007997,经营支出总额其他项目,68
balance_sheet,001002010,应付职工薪酬,68
balance_sheet,001009010,其他综合收益,67
income_statement,003007011,营业税金及附加,66
income_statement,003011005,融资收入,66
income_statement,003007001,手续费及佣金支出,66
balance_sheet,002001019,定期存款,66
balance_sheet,002002015,应付帐款及其他应付款,65
balance_sheet,001001032,贵金属,65
balance_sheet,004011017,持作出售的负债(流动),64
income_statement,004012003,终止或非持续业务溢利,64
income_statement,004001002,其他营业收入,64
income_statement,003007005,其他支出,64
balance_sheet,002009004,保留溢利(累计亏损),64
balance_sheet,003001021,指定以公允价值记账之金融资产,63
balance_sheet,004030997,股东权益其他项目,63
balance_sheet,002001017,法定存款,63
balance_sheet,003025002,储备,62
balance_sheet,002099001,非运算项目,62
income_statement,002003002,其他营业收入,62
income_statement,001003007,指定为以公允价值计量且其变动计入损益的金融工具净收益,62
income_statement,002007004,其他营业费用,62
income_statement,002002999,净已赚保费,61
balance_sheet,002001020,买入返售金融资产,60
balance_sheet,003001008,在建工程,59
income_statement,002001002,减:分保费,59
income_statement,002001999,净承保保费及保单费收入,59
income_statement,002011001,应占联营公司溢利,57
balance_sheet,001009012,优先股,56
balance_sheet,003007013,指定以公允价值记账之金融负债(流动),56
balance_sheet,004011023,其他金融负债(流动),54
income_statement,002007003,行政及一般费用,53
balance_sheet,001009009,其他权益工具,52
balance_sheet,004030017,永久资本证券,51
balance_sheet,003007008,其他应付款及应计费用,50
income_statement,001003997,经营收入其他项目,49
income_statement,002011997,除税前溢利其他项目,49
balance_sheet,002001005,联营公司权益,48
balance_sheet,002001024,指定以公允价值记账之金融资产,48
balance_sheet,003001018,证券投资,46
balance_sheet,002001009,其他投资,46
income_statement,001007999,扣除准备前经营溢利,46
balance_sheet,001002021,预计负债,46
balance_sheet,002001012,再保险资产,45
balance_sheet,001001026,应收款项类投资,45
balance_sheet,002001028,保险合同资产,44
balance_sheet,004001018,证券投资,44
balance_sheet,003015009,长期应付款,41
balance_sheet,003025997,归属于母公司股东权益其他项目,40
balance_sheet,002002016,预收保费,40
balance_sheet,001002004,已发行存款证,39
balance_sheet,003001016,合营公司权益,39
balance_sheet,003002020,客户信托存款,39
balance_sheet,002002009,其他负债,39
balance_sheet,002009006,其他储备,38
balance_sheet,002009002,储备,38
balance_sheet,001002017,应付帐款及其他应付款,38
balance_sheet,004011013,其他流动负债,37
balance_sheet,003015012,指定以公允价值记账之金融负债,35
balance_sheet,003015007,可转换票据及债券,35
balance_sheet,002001029,衍生金融工具,35
balance_sheet,002002011,衍生金融工具-负债,35
income_statement,002007011,营运支出,35
balance_sheet,002002012,保险准备金,34
balance_sheet,004030011,可转换债券及票据,34
income_statement,001005997,经营支出总额其他项目,32
income_statement,003011002,应占合营公司溢利,32
balance_sheet,002002008,借款,31
balance_sheet,001002006,交易性金融负债,30
income_statement,001011002,应占合营公司溢利,29
balance_sheet,002001027,预付款按金及其他应收款,28
balance_sheet,001002019,借款,28
balance_sheet,002009007,公积金,28
balance_sheet,002009010,其他综合收益,28
balance_sheet,004020020,可转换可赎回优先股,27
income_statement,003007008,銷售及分銷費用,26
balance_sheet,001001010,证券投资,26
balance_sheet,001009002,储备,26
balance_sheet,001002016,后偿负债,26
balance_sheet,003001011,长期应收款,25
balance_sheet,002001008,客户贷款及垫款净额,25
balance_sheet,002001014,交易性金融资产,25
balance_sheet,004020014,预收账款(非流动),24
income_statement,002007008,保费税,24
income_statement,002011003,财务费用,24
balance_sheet,001009005,重估储备,24
balance_sheet,003002021,可收回税项,23
balance_sheet,003015013,衍生金融工具-负债,23
income_statement,001010002,重估盈余,22
income_statement,002007009,汇兑损失,22
balance_sheet,004030006,拟派股息,21
balance_sheet,003001027,买入返售金融资产(非流动),20
balance_sheet,002002010,指定以公允价值记账之金融负债,20
balance_sheet,001002008,其他帐项及准备,20
balance_sheet,004001015,附属公司权益,19
income_statement,002007002,佣金支出,19
balance_sheet,003002011,短期存款,19
income_statement,001003001,股息收入,19
balance_sheet,001001011,其他证券投资,18
