symbol,name,shard_id,source_state,attempt_count,source_row_count,normalized_event_count,error_type,error_message,elapsed_seconds,retrieved_at,source_id,source_adapter,authority,trade_authority
002491.SZ,通鼎互联,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002508.SZ,老板电器,0,SUCCESS,4,4,4,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002510.SZ,天汽模,0,SUCCESS,4,1,1,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002528.SZ,*ST英飞,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002530.SZ,金财互联,0,SUCCESS,4,1,1,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002582.SZ,好想你,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002605.SZ,姚记科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002607.SZ,中公教育,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002616.SZ,长青集团,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002635.SZ,安洁科技,0,SUCCESS,4,2,2,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
002639.SZ,雪人集团,0,SUCCESS_EMPTY,4,0,0,,,53.302022948,2026-07-19T22:03:19+08:00,EASTMONEY_DIVIDEND_DISTRIBUTION_BY_REPORT_PERIOD,akshare.stock_fhps_em,DATA_AND_RESEARCH_EVIDENCE_ONLY,NONE
