security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis,workload_priority_rank
600396,华电辽能,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,14.77,291485651.0,4508950912.0,2175187.968709,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,62
300857,协创数据,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,230.4,18862774.0,4369350747.0,11274924.4416,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,63
300475,香农芯创,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,161.59,26453884.0,4299487852.0,7587325.412953,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,64
002396,星网锐捷,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,32.92,125624035.0,4215453743.0,2503744.992624,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,65
000636,风华高科,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,40.22,101316556.0,4200678494.0,4653507.134642,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,66
688766,普冉股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,389.64,10492941.0,4194936057.0,5794085.239092,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,67
600089,特变电工,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,20.39,200760500.0,4150786829.0,10302644.052269,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,68
688702,盛科通信,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,390.78,10330805.0,4125046909.0,16021980.0,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,69
688120,华海清科,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,263.9,15514404.0,4122631997.0,13055954.44153,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,70
000988,华工科技,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,108.19,37565540.0,4110523621.0,10878533.787033,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,71
601991,大唐发电,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.29,623932619.0,4060645967.0,11640720.907016,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,72
600667,太极实业,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,16.29,244667363.0,4008228682.0,3407122.207962,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,73
300666,江丰电子,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,229.47,16813260.0,3865146782.0,6332708.441601,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,74
600036,招商银行,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,39.2,98296005.0,3846185674.0,98861794.75592,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,75
600276,恒瑞医药,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,53.45,70483651.0,3790751145.0,35475833.32653,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,76
