security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis
600604,市北高新,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,4.1,6603200.0,27313983.0,768054.96964,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
920748,路桥信息,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,19.92,1338155.0,27299601.0,152866.08,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600960,渤海汽车,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.53,7702701.0,27295317.0,335531.977854,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600935,华塑股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,2.21,12225000.0,27265777.0,794437.110376,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600987,航民股份,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,6.46,4196330.0,27252958.0,659448.991958,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603517,ST绝味,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,10.02,2709600.0,27222321.0,607213.939872,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
001358,兴欣新材,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,20.27,1324520.0,27162905.0,249726.4,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002535,林州重机,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,2.1,12814180.0,27161375.0,168353.44554,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
000953,中哲精化,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.09,5280401.0,27158499.0,186356.197255,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
301058,中粮科工,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,7.82,3427857.0,27152650.0,407267.94991,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
